ID,Название,Департамент,Город,Опыт,Расписание,Формат работы,Рабочие часы,График,Зарплата,Ссылка,Требования,Зона ответственности
129452909,Дизайнер (стажер),,Санкт-Петербург,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129452909,"Уверенное знание Figma или Pixso. Хорошая насмотренность, знание трендов и направлений дизайна. Понимание психологии пользователя и основ UX.","Создание интерфейсов для веба (маркетинговые и корпоративные сайты). Подготовка макетов к передаче в разработку, участие в обсуждении UX-компромиссов. "
129463074,Системный аналитик (стажер),,Санкт-Петербург,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129463074,Умение структурировать информацию. Инициативность. Общее представление о процессах разработки и нагрузочного тестирования. Умение формулировать мысли и задачи. Развитое логическое мышление. ,Выявление требований и проблем ЗЛ. Разработка функциональных и нефункциональных требований. Ведение документации проекта. Выполнение системного анализа и моделирования.
129462997,Системный аналитик ML (стажер),,Санкт-Петербург,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129462997,"Интерес к машинному обучению, большим языковым моделям и ИИ в целом. Способность логично формулировать задачи и обрабатывать текстовую информацию. ","Участие в сборе и формализации требований к ML-сервисам. Самостоятельная проверка гипотез, анализ потребностей в сборе данных для обучения моделей. "
129454064,Разработчик C# (стажер),,Санкт-Петербург,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129454064,Базовые знания c#9 + и dotnet 5+. Навыки кодирования и проектирования веб-приложения. Навыки работы с EF и...,Разработка API в соответствии с утвержденными контрактами (openapi). Получение опыта работы с технологическим стеком: NET 8+/ASP.NET Core 8...
129456486,Дизайнер (стажер),,Томск,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129456486,"Умеете создавать визуалы в PowerPoint, Pixso, Adobe Illustrator, Photoshop. Внимательны к деталям, творчески подходите к решению задач, умеете адаптироваться к...","Предстоящие задачи: Разрабатывать дизайн презентаций для внутренних и внешних встреч. Создавать корпоративный мерч (футболки, кружки, стикеры и т.д.). "
129452491,Администратор проекта (стажер),,Санкт-Петербург,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129452491,Базовые знания методологий управления проектами. Общие знания менеджмента. Организаторские навыки. Опыт в подготовке презентаций и аналитических материалов. Умение формулировать цели...,"Контроль планов/сроков по задачам, реализуемых в рамках проекта. Формирование еженедельной отчетности по проекту для руководства компании. Организация рабочих встреч..."
129453616,Инженер-конструктор (стажер),,Санкт-Петербург,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129453616,"Умение работать в программах 3D моделирования (КОМПАС-3D, AutoCAD, SolidWorks). Базовые знания ЕСКД. Уверенный пользователь ПК (Word, Excel...","Разработка конструкторской документации (эскизы, чертежи деталей, сборочные чертежи, спецификации). Корректировка конструкторской документации."
129450087,Системный аналитик (стажер),,Новосибирск,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129450087,Умение структурировать информацию. Инициативность. Общее представление о процессах разработки и нагрузочного тестирования. Умение формулировать мысли и задачи. Развитое логическое мышление. ,Выявление требований и проблем ЗЛ. Разработка функциональных и нефункциональных требований. Ведение документации проекта. Выполнение системного анализа и моделирования.
129448652,"Стажер по направлению ""Ручное функциональное тестирование""",,Москва,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129448652,Базовые знания теории тестирования. Понимание общих принципов разработки ПО. Базовые знания Linux и основных навыков работы с командной строкой. ,"Функциональное и нефункциональное тестирование продуктов Компании. Подготовка тестовых окружений: разворачивание аппаратных и виртуальных стендов, работа с гипервизорами. Моделирование ситуаций, которые..."
129448232,"Стажер ""Менеджер по ИБ""",,Москва,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129448232,Знание нормативной базы в области ИБ. Знание принципов ООП. Ответственность. Внимание к деталям. Обучаемость и энтузиазм. Желание учиться и развиваться. ,Развитие безопасности реального средства защиты информации. Моделирование угроз. Анализ исходного кода на безопасность. Актуализация рабочей конструкторской документации.
129463524,Технический писатель (стажер),,Санкт-Петербург,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129463524,"Минимальное понимание, кто такой технический писатель, и большое желание развиваться в этой профессии. Умение писать просто о сложном. ","Разрабатывать и обновлять пользовательскую документацию для проектов отдела защищённых клиентский приложений. Взаимодействовать с проектной командой, участвовать в улучшении приложений ViPNet. "
129450913,Разработчик С# (стажер),,Новосибирск,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129450913,Знание языка С#. Знание принципов ООП. Общие представления о работах с базами данных. Ответственность. Внимание к деталям. Обучаемость и энтузиазм. ,ТекстКросс-продуктовая разработка нового функционала ПО под ОС Linux с использованием .NET 8 и C# 12. Применение принципов и подходов...
129708248,Разработчик Machine learning (стажер),,Томск,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129708248,Знание методов ML. Умение работать с большими языковыми моделями. Будет плюсом: Знания в области информационной безопасности. Знания в области сетевых...,Программирование на Python.
129448434,"Стажер ""Разработчик С++""",,Москва,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129448434,"Знание C, стандарта С++ 11 и выше. Опыт работы с Linux (Debian\Ubuntu). Опыт профилирования кода. Опыт разработки под микроконтроллеры...","Разработка по готовому техническому решению. Следование стандарту кодирования, принятому в компании. Написание unit тестов. Ревью кода, разработанного другими членами команды. "
129451453,Frontend-разработчик React (стажер),,Санкт-Петербург,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129451453,Базовые знания TypeScript и современного JavaScript (ES6+). Опыт разработки на React 16 (минимум) и понимание отличий в версиях. ,"Разработка новых интерфейсных фич и поддержка существующих модулей на React + TypeScript. Реализация UI по макетам (Ant Design 5, styled..."
129461062,"Стажер ""Presale-инженер/архитектор по ИБ""",,Екатеринбург,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129461062,Выпускник или также студент старших курсов по специальности «Информационная безопасность» или аналогичных специальностей. Знание терминологии в области ИБ. ,Организация пилотных проектов на стенде или в инфраструктуре заказчика. Проведение демонстрации решений по ИБ. Подготовка сравнений с конкурентами (Battle cards...
